Protein_ID	Annotation
Dcor_evm.model.contig_19_pilon.1	receptor-type tyrosine-protein phosphatase mu-like
Dcor_evm.model.contig_19_pilon.2	hypothetical protein
Dcor_evm.model.contig_21_pilon.1	zinc finger BED domain-containing protein 5-like
Dcor_evm.model.contig_21_pilon.2	PREDICTED: zinc finger BED domain-containing protein 4-like
Dcor_evm.model.contig_21_pilon.3	hypothetical protein ALC62_05268
Dcor_evm.model.contig_23_pilon.1	hypothetical protein
Dcor_evm.model.contig_23_pilon.2	PREDICTED: zinc finger and BTB domain-containing protein 8A isoform X1
Dcor_evm.model.contig_24_pilon.1	hypothetical protein TcasGA2_TC004269
Dcor_evm.model.contig_24_pilon.2	hypothetical protein LUCCR_75540, partial
Dcor_evm.model.contig_24_pilon.3	hypothetical protein
Dcor_evm.model.contig_24_pilon.4	hypothetical protein
Dcor_evm.model.contig_26_pilon.1	Probable ATP-dependent RNA helicase pitchoune
Dcor_evm.model.contig_29_pilon.1	uncharacterized protein LOC111515995
Dcor_evm.model.contig_30_pilon.1	PREDICTED: plasticin
Dcor_evm.model.contig_35_pilon.1	hypothetical protein
Dcor_evm.model.contig_35_pilon.2	hypothetical protein
Dcor_evm.model.contig_37_pilon.1	hypothetical protein
Dcor_evm.model.contig_40_pilon.1	Midasin
Dcor_evm.model.contig_47_pilon.1	hypothetical protein
Dcor_evm.model.contig_49_pilon.1	UPF0605 protein CG18335
Dcor_evm.model.contig_49_pilon.10	UPF0605 protein CG18335
Dcor_evm.model.contig_49_pilon.11	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.12	Protein CREBRF homolog
Dcor_evm.model.contig_49_pilon.13	glycine N-acyltransferase, partial
Dcor_evm.model.contig_49_pilon.14	Transmembrane protein 230
Dcor_evm.model.contig_49_pilon.15	hypothetical protein
Dcor_evm.model.contig_49_pilon.16	Raf homolog serine/threonine-protein kinase Raf
Dcor_evm.model.contig_49_pilon.17	Retrovirus-related Pol polyprotein from transposon 17.6-like Protein
Dcor_evm.model.contig_49_pilon.18	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.19	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.2	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.20	UPF0605 protein CG18335
Dcor_evm.model.contig_49_pilon.21	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.22	Protein CREBRF homolog
Dcor_evm.model.contig_49_pilon.23	glycine N-acyltransferase, partial
Dcor_evm.model.contig_49_pilon.24	transmembrane protein 230-like protein, partial
Dcor_evm.model.contig_49_pilon.25	hypothetical protein
Dcor_evm.model.contig_49_pilon.26	hypothetical protein
Dcor_evm.model.contig_49_pilon.27	Raf homolog serine/threonine-protein kinase Raf
Dcor_evm.model.contig_49_pilon.28	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.29	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.3	Protein CREBRF homolog
Dcor_evm.model.contig_49_pilon.4	glycine N-acyltransferase, partial
Dcor_evm.model.contig_49_pilon.5	Transmembrane protein 230
Dcor_evm.model.contig_49_pilon.6	hypothetical protein
Dcor_evm.model.contig_49_pilon.7	Raf homolog serine/threonine-protein kinase Raf
Dcor_evm.model.contig_49_pilon.8	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_49_pilon.9	Kynurenine--oxoglutarate transaminase 3
Dcor_evm.model.contig_51_pilon.1	hypothetical protein
Dcor_evm.model.contig_53_pilon.1	General transcription factor IIF subunit 2
Dcor_evm.model.contig_55_pilon.1	hypothetical protein B9Z55_007992
Dcor_evm.model.contig_58_pilon.1	Probable 28S ribosomal protein S25, mitochondrial
Dcor_evm.model.contig_6_pilon.1	PREDICTED: uncharacterized protein LOC106693338, partial
Dcor_evm.model.contig_60_pilon.1	hypothetical protein
Dcor_evm.model.contig_62_pilon.1	hypothetical protein
Dcor_evm.model.contig_69_pilon.1	hypothetical protein
Dcor_evm.model.contig_70_pilon.1	Catalase
Dcor_evm.model.contig_72_pilon.1	hypothetical protein RF55_8155
Dcor_evm.model.contig_72_pilon.2	hypothetical protein
Dcor_evm.model.contig_73_pilon.1	Mitochondrial import receptor subunit TOM70
Dcor_evm.model.contig_74_pilon.1	hypothetical protein
Dcor_evm.model.contig_74_pilon.2	hypothetical protein
Dcor_evm.model.contig_75_pilon.1	hypothetical protein TanjilG_25105
Dcor_evm.model.contig_78_pilon.1	Probable ATP-dependent RNA helicase pitchoune
Dcor_evm.model.contig_8_pilon.1	hypothetical protein
Dcor_evm.model.contig_84_pilon.1	Myrosinase 1
Dcor_evm.model.contig_84_pilon.2	hypothetical protein
Dcor_evm.model.contig_85_pilon.1	DDB1- and CUL4-associated factor 12
Dcor_evm.model.contig_86_pilon.1	hypothetical protein
Dcor_evm.model.contig_86_pilon.2	uncharacterized protein LOC112046479
Dcor_evm.model.contig_87_pilon.1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related
Dcor_evm.model.contig_88_pilon.1	Ferritin subunit
Dcor_evm.model.contig_89_pilon.1	Lysosomal acid phosphatase
Dcor_evm.model.contig_89_pilon.2	Probable N-acetylgalactosaminyltransferase 9
Dcor_evm.model.contig_92_pilon.1	Mediator of RNA polymerase II transcription subunit 17
Dcor_evm.model.contig_94_pilon.1	Alpha-N-acetylglucosaminidase
Dcor_evm.model.contig_95_pilon.1	ATP-dependent RNA helicase DHX33
Dcor_evm.model.contig_97_pilon.1	uncharacterized protein LOC112680643
Dcor_evm.model.contig_97_pilon.2	uncharacterized protein LOC114246253 isoform X2
Dcor_evm.model.contig_97_pilon.3	uncharacterized protein LOC111886563, partial
Dcor_evm.model.contig_97_pilon.4	hypothetical protein
Dcor_evm.model.contig_97_pilon.5	hypothetical protein
Dcor_evm.model.contig_97_pilon.6	hypothetical protein
Dcor_evm.model.contig_97_pilon.7	uncharacterized protein LOC113403492 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.1	Kinesin-like protein unc-104 
Dcor_evm.model.hic_scaffold_1_pilon.10	PREDICTED: intracellular protein transport protein USO1-like
Dcor_evm.model.hic_scaffold_1_pilon.100	PREDICTED: uncharacterized protein LOC108556841
Dcor_evm.model.hic_scaffold_1_pilon.1000	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1001	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1002	PREDICTED: uncharacterized protein LOC108558539 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.1003	PREDICTED: serine/arginine-rich splicing factor 4-like
Dcor_evm.model.hic_scaffold_1_pilon.1004	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1005	Dynein heavy chain 3, axonemal
Dcor_evm.model.hic_scaffold_1_pilon.1006	Dynein heavy chain 3, axonemal
Dcor_evm.model.hic_scaffold_1_pilon.1007	Dynein heavy chain 3, axonemal
Dcor_evm.model.hic_scaffold_1_pilon.1008	Dynein heavy chain 3, axonemal
Dcor_evm.model.hic_scaffold_1_pilon.1009	Transmembrane channel-like protein 5
Dcor_evm.model.hic_scaffold_1_pilon.101	PREDICTED: uncharacterized protein LOC108556842
Dcor_evm.model.hic_scaffold_1_pilon.1010	transmembrane channel-like protein 3 isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.1011	Forkhead box protein K1
Dcor_evm.model.hic_scaffold_1_pilon.1012	Protein yellow
Dcor_evm.model.hic_scaffold_1_pilon.1013	PREDICTED: uncharacterized protein LOC108562564
Dcor_evm.model.hic_scaffold_1_pilon.1014	GTP-binding protein 128up
Dcor_evm.model.hic_scaffold_1_pilon.1015	GTP-binding protein 128up
Dcor_evm.model.hic_scaffold_1_pilon.1016	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1017	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1018	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1019	hypothetical protein TcasGA2_TC032967
Dcor_evm.model.hic_scaffold_1_pilon.102	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1020	COP9 signalosome complex subunit 4
Dcor_evm.model.hic_scaffold_1_pilon.1021	COP9 signalosome complex subunit 4
Dcor_evm.model.hic_scaffold_1_pilon.1022	WD repeat domain phosphoinositide-interacting protein 2
Dcor_evm.model.hic_scaffold_1_pilon.1023	Group XIIA secretory phospholipase A2
Dcor_evm.model.hic_scaffold_1_pilon.1024	Larval serum protein 2-like
Dcor_evm.model.hic_scaffold_1_pilon.1025	Probable ATP-dependent RNA helicase DDX46
Dcor_evm.model.hic_scaffold_1_pilon.1026	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1027	Protein winged eye
Dcor_evm.model.hic_scaffold_1_pilon.1028	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1029	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.103	Sodium-independent sulfate anion transporter
Dcor_evm.model.hic_scaffold_1_pilon.1030	PREDICTED: uncharacterized protein LOC108561279 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.1031	uncharacterized protein LOC108737843 isoform X2
Dcor_evm.model.hic_scaffold_1_pilon.1032	Lig chan domain containing protein
Dcor_evm.model.hic_scaffold_1_pilon.1033	PREDICTED: troponin C-like
Dcor_evm.model.hic_scaffold_1_pilon.1034	Differentially expressed in FDCP 6 homolog
Dcor_evm.model.hic_scaffold_1_pilon.1035	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1036	PREDICTED: IQ domain-containing protein D
Dcor_evm.model.hic_scaffold_1_pilon.1037	PREDICTED: coiled-coil domain-containing protein 65
Dcor_evm.model.hic_scaffold_1_pilon.1038	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1039	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.104	Clusterin-associated protein 1
Dcor_evm.model.hic_scaffold_1_pilon.1040	Group 3 secretory phospholipase A2
Dcor_evm.model.hic_scaffold_1_pilon.1041	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1042	DNA-directed RNA polymerase III subunit RPC5
Dcor_evm.model.hic_scaffold_1_pilon.1043	FERM domain containing protein
Dcor_evm.model.hic_scaffold_1_pilon.1044	Unconventional myosin-XVB
Dcor_evm.model.hic_scaffold_1_pilon.1045	Unconventional myosin-XV
Dcor_evm.model.hic_scaffold_1_pilon.1046	Myosin-VIIa
Dcor_evm.model.hic_scaffold_1_pilon.1047	Unconventional myosin-XV
Dcor_evm.model.hic_scaffold_1_pilon.1048	Protein C10-like Protein
Dcor_evm.model.hic_scaffold_1_pilon.1049	Dynein assembly factor 5, axonemal
Dcor_evm.model.hic_scaffold_1_pilon.105	Chorion peroxidase
Dcor_evm.model.hic_scaffold_1_pilon.1050	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1051	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1052	COP9 signalosome complex subunit 4
Dcor_evm.model.hic_scaffold_1_pilon.1053	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1054	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1055	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1056	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1057	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1058	PREDICTED: neo-calmodulin-like isoform X4
Dcor_evm.model.hic_scaffold_1_pilon.1059	Membrane-bound alkaline phosphatase
Dcor_evm.model.hic_scaffold_1_pilon.106	hypothetical protein TcasGA2_TC015233
Dcor_evm.model.hic_scaffold_1_pilon.1060	Membrane-bound alkaline phosphatase
Dcor_evm.model.hic_scaffold_1_pilon.1061	conserved hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1062	PREDICTED: uncharacterized protein LOC108564538
Dcor_evm.model.hic_scaffold_1_pilon.1063	Insulin receptor substrate 1
Dcor_evm.model.hic_scaffold_1_pilon.1064	PREDICTED: uncharacterized protein LOC108558534
Dcor_evm.model.hic_scaffold_1_pilon.1065	uncharacterized protein K02A2.6-like, partial
Dcor_evm.model.hic_scaffold_1_pilon.1066	PREDICTED: MOXD1 homolog 1
Dcor_evm.model.hic_scaffold_1_pilon.1067	MOXD1 homolog 1
Dcor_evm.model.hic_scaffold_1_pilon.1068	Neuropeptide CCHamide-1 receptor
Dcor_evm.model.hic_scaffold_1_pilon.1069	Neuropeptide CCHamide-2 receptor
Dcor_evm.model.hic_scaffold_1_pilon.107	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1070	Aldehyde dehydrogenase, dimeric NADP-preferring
Dcor_evm.model.hic_scaffold_1_pilon.1071	Aldehyde dehydrogenase, dimeric NADP-preferring
Dcor_evm.model.hic_scaffold_1_pilon.1072	Fatty aldehyde dehydrogenase
Dcor_evm.model.hic_scaffold_1_pilon.1073	Acyl carrier protein, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.1074	WD repeat domain phosphoinositide-interacting protein 3
Dcor_evm.model.hic_scaffold_1_pilon.1075	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1076	PREDICTED: uncharacterized protein LOC108561054
Dcor_evm.model.hic_scaffold_1_pilon.1077	PREDICTED: adenylosuccinate lyase
Dcor_evm.model.hic_scaffold_1_pilon.1078	hypothetical protein D910_01844
Dcor_evm.model.hic_scaffold_1_pilon.1079	Probable RNA-directed DNA polymerase from transposon BS
Dcor_evm.model.hic_scaffold_1_pilon.108	Probable chitinase 10
Dcor_evm.model.hic_scaffold_1_pilon.1080	uncharacterized protein LOC112211183
Dcor_evm.model.hic_scaffold_1_pilon.1081	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1082	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment)
Dcor_evm.model.hic_scaffold_1_pilon.1083	uncharacterized protein LOC113557683
Dcor_evm.model.hic_scaffold_1_pilon.1084	hypothetical protein RP20_CCG013076
Dcor_evm.model.hic_scaffold_1_pilon.1085	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1086	PREDICTED: uncharacterized protein LOC109534668
Dcor_evm.model.hic_scaffold_1_pilon.1087	Probable RNA-directed DNA polymerase from transposon BS
Dcor_evm.model.hic_scaffold_1_pilon.1088	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1089	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.109	PREDICTED: protein suppressor of white apricot-like
Dcor_evm.model.hic_scaffold_1_pilon.1090	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1091	Mariner Mos1 transposase
Dcor_evm.model.hic_scaffold_1_pilon.1092	uncharacterized protein LOC113381760, partial
Dcor_evm.model.hic_scaffold_1_pilon.1093	Pro-Pol polyprotein
Dcor_evm.model.hic_scaffold_1_pilon.1094	Transposon Ty3-I Gag-Pol polyprotein
Dcor_evm.model.hic_scaffold_1_pilon.1095	uncharacterized protein LOC105666144
Dcor_evm.model.hic_scaffold_1_pilon.1096	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1097	Probable RNA-directed DNA polymerase from transposon BS
Dcor_evm.model.hic_scaffold_1_pilon.1098	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1099	Retrotransposable element Tf2 155 kDa protein type 1
Dcor_evm.model.hic_scaffold_1_pilon.11	Cytochrome P450 9e2
Dcor_evm.model.hic_scaffold_1_pilon.110	Protein suppressor of white apricot
Dcor_evm.model.hic_scaffold_1_pilon.1100	Transposon Ty3-G Gag-Pol polyprotein
Dcor_evm.model.hic_scaffold_1_pilon.1101	Transposon Tf2-1 polyprotein
Dcor_evm.model.hic_scaffold_1_pilon.1102	uncharacterized protein LOC112637440
Dcor_evm.model.hic_scaffold_1_pilon.1103	uncharacterized protein LOC112464707
Dcor_evm.model.hic_scaffold_1_pilon.1104	PREDICTED: uncharacterized protein LOC105571052
Dcor_evm.model.hic_scaffold_1_pilon.1105	uncharacterized protein LOC111674265, partial
Dcor_evm.model.hic_scaffold_1_pilon.1106	Putative 115 kDa protein in type-1 retrotransposable element R1DM
Dcor_evm.model.hic_scaffold_1_pilon.1107	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment)
Dcor_evm.model.hic_scaffold_1_pilon.1108	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1109	reverse transcriptase
Dcor_evm.model.hic_scaffold_1_pilon.111	DNA-directed RNA polymerase I subunit RPA12
Dcor_evm.model.hic_scaffold_1_pilon.1110	PREDICTED: uncharacterized protein LOC108560589
Dcor_evm.model.hic_scaffold_1_pilon.1111	unnamed protein product
Dcor_evm.model.hic_scaffold_1_pilon.1112	uncharacterized protein LOC111419136
Dcor_evm.model.hic_scaffold_1_pilon.1113	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1114	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1115	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1116	Craniofacial development protein 2
Dcor_evm.model.hic_scaffold_1_pilon.1117	uncharacterized protein LOC111358381
Dcor_evm.model.hic_scaffold_1_pilon.1118	Probable RNA-directed DNA polymerase from transposon X-element
Dcor_evm.model.hic_scaffold_1_pilon.1119	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.112	G protein-coupled receptor kinase 1
Dcor_evm.model.hic_scaffold_1_pilon.1120	RNA polymerase II transcriptional coactivator-like
Dcor_evm.model.hic_scaffold_1_pilon.1121	Ribosome biogenesis regulatory protein homolog
Dcor_evm.model.hic_scaffold_1_pilon.1122	PREDICTED: uncharacterized protein LOC108558521
Dcor_evm.model.hic_scaffold_1_pilon.1123	PREDICTED: uncharacterized protein LOC108558520
Dcor_evm.model.hic_scaffold_1_pilon.1124	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1125	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1126	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1127	uncharacterized protein LOC105666144
Dcor_evm.model.hic_scaffold_1_pilon.1128	uncharacterized protein LOC113234216, partial
Dcor_evm.model.hic_scaffold_1_pilon.1129	uncharacterized protein LOC112904665
Dcor_evm.model.hic_scaffold_1_pilon.113	Ragulator complex protein LAMTOR4 homolog
Dcor_evm.model.hic_scaffold_1_pilon.1130	uncharacterized protein LOC112904665
Dcor_evm.model.hic_scaffold_1_pilon.1131	PREDICTED: uncharacterized protein LOC103579908
Dcor_evm.model.hic_scaffold_1_pilon.1132	Putative matrix metalloproteinase 
Dcor_evm.model.hic_scaffold_1_pilon.1133	hypothetical protein TcasGA2_TC005265
Dcor_evm.model.hic_scaffold_1_pilon.1134	hypothetical protein TcasGA2_TC004211
Dcor_evm.model.hic_scaffold_1_pilon.1135	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1136	hypothetical protein ALC57_03049
Dcor_evm.model.hic_scaffold_1_pilon.1137	elongator complex protein 6
Dcor_evm.model.hic_scaffold_1_pilon.1138	Mitochondrial dicarboxylate carrier
Dcor_evm.model.hic_scaffold_1_pilon.1139	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.114	Cytochrome c oxidase subunit 6A1, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.1140	Potassium voltage-gated channel protein Shaw
Dcor_evm.model.hic_scaffold_1_pilon.1141	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1142	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
Dcor_evm.model.hic_scaffold_1_pilon.1143	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1144	uncharacterized protein LOC108908794
Dcor_evm.model.hic_scaffold_1_pilon.1145	Coiled-coil domain-containing protein 40
Dcor_evm.model.hic_scaffold_1_pilon.1146	Guanine nucleotide-binding protein G(o) subunit alpha
Dcor_evm.model.hic_scaffold_1_pilon.1147	Alkaline phosphatase, tissue-nonspecific isozyme
Dcor_evm.model.hic_scaffold_1_pilon.1148	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1149	Cardioacceleratory peptide receptor
Dcor_evm.model.hic_scaffold_1_pilon.115	Protein disulfide-isomerase A6
Dcor_evm.model.hic_scaffold_1_pilon.1150	Probable methylthioribulose-1-phosphate dehydratase
Dcor_evm.model.hic_scaffold_1_pilon.1151	Ubiquitin carboxyl-terminal hydrolase 30 homolog
Dcor_evm.model.hic_scaffold_1_pilon.1152	Signal recognition particle subunit SRP68
Dcor_evm.model.hic_scaffold_1_pilon.1153	Putative inorganic phosphate cotransporter
Dcor_evm.model.hic_scaffold_1_pilon.1154	nucleolar protein 12
Dcor_evm.model.hic_scaffold_1_pilon.1155	TATA-binding protein-associated factor 172
Dcor_evm.model.hic_scaffold_1_pilon.1156	DNA fragmentation factor subunit beta
Dcor_evm.model.hic_scaffold_1_pilon.1157	Spermatogenesis-associated protein 20
Dcor_evm.model.hic_scaffold_1_pilon.1158	40S ribosomal protein S9
Dcor_evm.model.hic_scaffold_1_pilon.1159	Calpain-7
Dcor_evm.model.hic_scaffold_1_pilon.116	Protein disulfide-isomerase A6 homolog
Dcor_evm.model.hic_scaffold_1_pilon.1160	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1161	PREDICTED: uncharacterized protein LOC108558095
Dcor_evm.model.hic_scaffold_1_pilon.1162	Dyslexia-associated protein KIAA0319-like protein
Dcor_evm.model.hic_scaffold_1_pilon.1163	U5 small nuclear ribonucleoprotein 40 kDa protein
Dcor_evm.model.hic_scaffold_1_pilon.1164	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.1165	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.1166	Serine/threonine-protein kinase Tor
Dcor_evm.model.hic_scaffold_1_pilon.1167	Protein enhancer of sevenless 2B
Dcor_evm.model.hic_scaffold_1_pilon.1168	40S ribosomal protein SA
Dcor_evm.model.hic_scaffold_1_pilon.117	PREDICTED: ankycorbin isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.118	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.119	39S ribosomal protein L50, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.12	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.120	Transforming protein Ski
Dcor_evm.model.hic_scaffold_1_pilon.121	60S ribosomal protein L37a
Dcor_evm.model.hic_scaffold_1_pilon.122	Beta-1,4-N-acetylgalactosaminyltransferase bre-4
Dcor_evm.model.hic_scaffold_1_pilon.123	Xaa-Pro dipeptidase
Dcor_evm.model.hic_scaffold_1_pilon.124	PREDICTED: polypeptide N-acetylgalactosaminyltransferase 1 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.125	Polypeptide N-acetylgalactosaminyltransferase 3
