,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Protein_ID,Annotation,Dcor_Gene,padj
11009,24240.06491,4.085137622,0.644755208,6.335951341,2.36E-10,6.32E-08,Hol_evm.model.scaffold18015.2,PREDICTED: Golgi integral membrane protein 4-like,Dcor_evm.model.hic_scaffold_7_pilon.337,6.32E-08
8604,54.32314335,7.968487145,1.265335781,6.297527713,3.02E-10,7.92E-08,Hol_evm.model.scaffold13220.1,CUGBP Elav-like family member 4,Dcor_evm.model.hic_scaffold_4_pilon.810,7.92E-08
1271,1051.187061,3.538230714,0.567722203,6.23232753,4.60E-10,1.18E-07,Hol_evm.model.scaffold01614.11,Dipeptidase 1,Dcor_evm.model.hic_scaffold_9_pilon.913,1.18E-07
2714,120.8956324,5.135484764,0.831755729,6.174270383,6.65E-10,1.66E-07,Hol_evm.model.scaffold03649.2,Aurora kinase A-A,Dcor_evm.model.hic_scaffold_6_pilon.372,1.66E-07
3028,62.73063011,6.423015766,1.045471723,6.143653266,8.06E-10,1.97E-07,Hol_evm.model.scaffold04088.1,NA,NA,1.97E-07
8337,70.93377939,5.14255444,0.848643106,6.059737483,1.36E-09,3.27E-07,Hol_evm.model.scaffold12629.1,Dual specificity protein kinase Ttk,Dcor_evm.model.hic_scaffold_3_pilon.1021,3.27E-07
3885,364.4582518,5.497790283,0.936549409,5.870261868,4.35E-09,1.02E-06,Hol_evm.model.scaffold05242.9,Glycoprotein 3-alpha-L-fucosyltransferase A,Dcor_evm.model.hic_scaffold_7_pilon.449,1.02E-06
2264,406278.6773,3.927612356,0.672646837,5.839040844,5.25E-09,1.21E-06,Hol_evm.model.scaffold03040.4,Farnesol dehydrogenase,Dcor_evm.model.hic_scaffold_2_pilon.114,1.21E-06
1681,60.50059807,6.573710829,1.139668205,5.768091804,8.02E-09,1.81E-06,Hol_evm.model.scaffold02149.4,"Lig chan domain containing protein, partial",Dcor_evm.model.hic_scaffold_9_pilon.885,1.81E-06
10814,580.429266,-3.659541694,0.63492978,-5.763695149,8.23E-09,1.82E-06,Hol_evm.model.scaffold17775.2,26-29-p,NA,1.82E-06
10574,181.0051572,4.158309052,0.738010163,5.634487519,1.76E-08,3.80E-06,Hol_evm.model.scaffold17261.1,Disheveled-associated activator of morphogenesis 2,Dcor_evm.model.hic_scaffold_5_pilon.1203,3.80E-06
6698,448.3738397,3.496571033,0.624989766,5.594605262,2.21E-08,4.62E-06,Hol_evm.model.scaffold09857.15,NA,NA,4.62E-06
7400,5212.688856,5.29965111,0.947320155,5.594361193,2.21E-08,4.62E-06,Hol_evm.model.scaffold11262.1,PREDICTED: phenoloxidase 2-like,Dcor_evm.model.hic_scaffold_5_pilon.905,4.62E-06
2639,330.2449175,4.863117457,0.871664327,5.579117217,2.42E-08,4.95E-06,Hol_evm.model.scaffold03537.3,Venom acid phosphatase Acph-1,Dcor_evm.model.hic_scaffold_10_pilon.14,4.95E-06
9620,619.4720678,3.666038816,0.657476538,5.575923402,2.46E-08,4.95E-06,Hol_evm.model.scaffold15240.3,Protein vestigial,Dcor_evm.model.hic_scaffold_7_pilon.1139,4.95E-06
8857,10163.70665,3.223248776,0.585919481,5.501180419,3.77E-08,7.37E-06,Hol_evm.model.scaffold13840.4,Multidrug resistance-associated protein 4,Dcor_evm.model.hic_scaffold_7_pilon.25,7.37E-06
10151,238.9412783,5.543972663,1.007970781,5.500132312,3.80E-08,7.37E-06,Hol_evm.model.scaffold16243.17,Lymphokine-activated killer T-cell-originated protein kinase,Dcor_evm.model.hic_scaffold_3_pilon.1417,7.37E-06
6037,256.2760567,-5.529705639,1.008157278,-5.484963266,4.14E-08,7.89E-06,Hol_evm.model.scaffold08736.3,GLUD1,NA,7.89E-06
8508,76.57058525,-4.672849047,0.855005616,-5.465284621,4.62E-08,8.67E-06,Hol_evm.model.scaffold12954.1,NA,NA,8.67E-06
8653,100.675899,-4.68631766,0.859496223,-5.45240053,4.97E-08,9.17E-06,Hol_evm.model.scaffold13368.8,Probable G-protein coupled receptor B0563.6,Dcor_evm.model.hic_scaffold_3_pilon.269,9.17E-06
95,739.2069409,4.193976759,0.772920761,5.426140649,5.76E-08,1.04E-05,Hol_evm.model.scaffold00074.8,Obp69a,NA,1.04E-05
6686,933.5552966,-4.172127824,0.769271756,-5.423477196,5.85E-08,1.04E-05,Hol_evm.model.scaffold09857.2,"Glucose dehydrogenase [FAD, quinone]",Dcor_evm.model.hic_scaffold_9_pilon.117,1.04E-05
9754,213.6038659,-4.546689686,0.841592787,-5.402481765,6.57E-08,1.16E-05,Hol_evm.model.scaffold15447.1,NADP-dependent malic enzyme,Dcor_evm.model.hic_scaffold_4_pilon.937,1.16E-05
9443,106.3705134,4.53675475,0.846434282,5.359842867,8.33E-08,1.44E-05,Hol_evm.model.scaffold15036.1,-,NA,1.44E-05
6425,68.14612469,7.134431405,1.351395748,5.279305795,1.30E-07,2.21E-05,Hol_evm.model.scaffold09423.1,-,NA,2.21E-05
4315,76.84976008,5.106685939,0.977861616,5.222299203,1.77E-07,2.97E-05,Hol_evm.model.scaffold05808.1,Hormone receptor 4,Dcor_evm.model.hic_scaffold_10_pilon.210,2.97E-05
10240,346.4105179,3.338815071,0.640726176,5.210985907,1.88E-07,3.11E-05,Hol_evm.model.scaffold16567.4,Uncharacterized protein KIAA1841 homolog,Dcor_evm.model.hic_scaffold_2_pilon.773,3.11E-05
10365,84.96471241,5.263617903,1.01723238,5.174449819,2.29E-07,3.73E-05,Hol_evm.model.scaffold16723.2,PREDICTED: uncharacterized protein LOC108561232,Dcor_evm.model.hic_scaffold_5_pilon.1024,3.73E-05
7105,191.3668822,6.670380412,1.291306254,5.165606837,2.40E-07,3.80E-05,Hol_evm.model.scaffold10791.2,NA,NA,3.80E-05
10620,289.483772,4.982154632,0.964242737,5.166909163,2.38E-07,3.80E-05,Hol_evm.model.scaffold17331.2,NA,NA,3.80E-05
3267,957.7470147,5.769709365,1.125632438,5.125749017,2.96E-07,4.63E-05,Hol_evm.model.scaffold04407.6,Protein takeout,Dcor_evm.model.hic_scaffold_10_pilon.1238,4.63E-05
212,5081.181328,2.950302801,0.581624834,5.072518623,3.93E-07,6.05E-05,Hol_evm.model.scaffold00222.2,Coactosin-like protein ,Dcor_evm.model.hic_scaffold_9_pilon.1319,6.05E-05
6493,361.5122754,-2.827232081,0.558860742,-5.058920531,4.22E-07,6.41E-05,Hol_evm.model.scaffold09535.16,Facilitated trehalose transporter Tret1,Dcor_evm.model.hic_scaffold_2_pilon.782,6.41E-05
9630,98468.75226,3.989634492,0.794067281,5.024302834,5.05E-07,7.58E-05,Hol_evm.model.scaffold15240.13,-,NA,7.58E-05
3917,83.18848427,-4.391440704,0.874483083,-5.021756039,5.12E-07,7.58E-05,Hol_evm.model.scaffold05303.1,-,NA,7.58E-05
9597,283.1235557,6.288072387,1.257389165,5.000895952,5.71E-07,8.34E-05,Hol_evm.model.scaffold15213.2,PREDICTED: uncharacterized protein LOC108563804,Dcor_evm.model.hic_scaffold_6_pilon.571,8.34E-05
6782,1629.341014,6.373753093,1.276168439,4.994445011,5.90E-07,8.52E-05,Hol_evm.model.scaffold10035.5,NA,NA,8.52E-05
200,6310.008964,-3.149593297,0.631510204,-4.987398904,6.12E-07,8.72E-05,Hol_evm.model.scaffold00179.3,Muscle-specific protein 20,Dcor_evm.model.hic_scaffold_5_pilon.264,8.72E-05
9717,228.920666,-2.912053834,0.584337393,-4.983514436,6.24E-07,8.79E-05,Hol_evm.model.scaffold15346.10,NA,NA,8.79E-05
514,6407.255677,-3.959781071,0.803642747,-4.927290247,8.34E-07,0.000115885,Hol_evm.model.scaffold00660.1,ITIH5,NA,0.000115885
2193,94.39594755,7.437065312,1.516512759,4.904057197,9.39E-07,0.000128886,Hol_evm.model.scaffold02932.3,NA,NA,0.000128886
5834,246.0595966,-4.835929947,0.994780196,-4.861305007,1.17E-06,0.000158174,Hol_evm.model.scaffold08379.5,PREDICTED: uncharacterized protein LOC108566763,Dcor_evm.model.hic_scaffold_8_pilon.369,0.000158174
10542,1881.869707,3.147880147,0.648982773,4.850483369,1.23E-06,0.000165065,Hol_evm.model.scaffold17200.8,Laccase-5,Dcor_evm.model.hic_scaffold_7_pilon.1222,0.000165065
10630,45.11067326,5.480505514,1.131256783,4.844616712,1.27E-06,0.000168017,Hol_evm.model.scaffold17355.1,NA,NA,0.000168017
6731,74.36447022,-4.411332082,0.912751619,-4.83300384,1.34E-06,0.000176054,Hol_evm.model.scaffold09925.1,CRHR2,NA,0.000176054
2413,153.1121708,4.487895088,0.937539724,4.786885264,1.69E-06,0.000219194,Hol_evm.model.scaffold03308.2,Kinesin-like protein KIF18A,Dcor_evm.model.hic_scaffold_6_pilon.1619,0.000219194
1672,178.5407056,-5.38235482,1.128962068,-4.767524945,1.87E-06,0.000230836,Hol_evm.model.scaffold02141.3,NA,NA,0.000230836
3630,6076.28991,3.355139531,0.704176016,4.764631933,1.89E-06,0.000230836,Hol_evm.model.scaffold04928.1,Sugar transporter SWEET1,Dcor_evm.model.hic_scaffold_3_pilon.559,0.000230836
6524,904.2174899,2.931353469,0.614905807,4.767158539,1.87E-06,0.000230836,Hol_evm.model.scaffold09609.18,PREDICTED: uncharacterized protein LOC108566416 isoform X1,Dcor_evm.model.hic_scaffold_3_pilon.441,0.000230836
6787,145.7208243,-5.941995127,1.246973467,-4.765133568,1.89E-06,0.000230836,Hol_evm.model.scaffold10042.2,"hypothetical protein YQE_09019, partial",Dcor_evm.model.hic_scaffold_4_pilon.11,0.000230836
9359,218.3277925,4.115498819,0.862160804,4.7734701,1.81E-06,0.000230836,Hol_evm.model.scaffold14839.1,Ecdysteroid UDP-glucosyltransferase,Dcor_evm.model.hic_scaffold_10_pilon.449,0.000230836
11371,1185.955363,-3.582488997,0.752141867,-4.763049572,1.91E-06,0.000230836,Hol_evm.model.scaffold18809.1,PREDICTED: cell adhesion molecule 2-like,Dcor_evm.model.hic_scaffold_5_pilon.938,0.000230836
515,2850.601513,4.55379334,0.958389865,4.751504067,2.02E-06,0.000241818,Hol_evm.model.scaffold00661.1,-,NA,0.000241818
6981,5957.24345,3.004543594,0.633455904,4.743098258,2.10E-06,0.000249423,Hol_evm.model.scaffold10521.1,NA,NA,0.000249423
2987,4354.526609,-3.033367297,0.642022961,-4.724702202,2.30E-06,0.000270254,Hol_evm.model.scaffold04031.5,GILT-like protein 1,Dcor_evm.model.hic_scaffold_5_pilon.494,0.000270254
6582,227.0235616,5.856382617,1.244132298,4.707202462,2.51E-06,0.000291477,Hol_evm.model.scaffold09719.2,Neuronal acetylcholine receptor subunit alpha-9,Dcor_evm.model.hic_scaffold_9_pilon.1329,0.000291477
1323,205.3935192,3.352317823,0.71309796,4.701062142,2.59E-06,0.000297317,Hol_evm.model.scaffold01665.5,NA,NA,0.000297317
1831,299.1952254,-3.290160783,0.707324642,-4.651556851,3.29E-06,0.000372994,Hol_evm.model.scaffold02416.4,CD9 antigen,Dcor_evm.model.hic_scaffold_4_pilon.671,0.000372994
4136,44.04341844,4.069070378,0.874996324,4.650385683,3.31E-06,0.000372994,Hol_evm.model.scaffold05610.1,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8,Dcor_evm.model.hic_scaffold_10_pilon.722,0.000372994
7895,74.45426661,-4.543203887,0.978728118,-4.64194683,3.45E-06,0.000384713,Hol_evm.model.scaffold11910.1,Gonadotropin-releasing hormone II receptor,Dcor_evm.model.hic_scaffold_9_pilon.1005,0.000384713
11032,48.11101299,4.490902853,0.972249579,4.619084391,3.85E-06,0.000425417,Hol_evm.model.scaffold18059.3,PREDICTED: protein FAM166B-like,Dcor_evm.model.hic_scaffold_6_pilon.989,0.000425417
2973,110.4132302,-4.697703243,1.017560181,-4.616634311,3.90E-06,0.000426289,Hol_evm.model.scaffold04011.3,NA,NA,0.000426289
3401,55.03889845,4.938049346,1.072568619,4.603947252,4.15E-06,0.000448758,Hol_evm.model.scaffold04585.1,fabF,NA,0.000448758
8502,55.90977394,5.141410838,1.120266873,4.589451819,4.44E-06,0.000476494,Hol_evm.model.scaffold12935.1,PREDICTED: uncharacterized protein LOC108567858 isoform X1,Dcor_evm.model.hic_scaffold_4_pilon.366,0.000476494
6714,87.27611997,-4.163968901,0.909330002,-4.579161462,4.67E-06,0.000484148,Hol_evm.model.scaffold09881.1,LIM and SH3 domain protein F42H10.3,Dcor_evm.model.hic_scaffold_9_pilon.747,0.000484148
9425,53.40602246,-4.475620814,0.976726251,-4.582267355,4.60E-06,0.000484148,Hol_evm.model.scaffold15005.1,Leucine-rich melanocyte differentiation-associated protein,Dcor_evm.model.hic_scaffold_4_pilon.499,0.000484148
9857,82.09772477,3.278531202,0.715548903,4.581840863,4.61E-06,0.000484148,Hol_evm.model.scaffold15711.1,NA,NA,0.000484148
10457,96.50702412,5.033658074,1.099458221,4.578307732,4.69E-06,0.000484148,Hol_evm.model.scaffold16950.1,FER1L6,NA,0.000484148
10317,120.7635531,-3.728721295,0.816274286,-4.567975936,4.92E-06,0.000504007,Hol_evm.model.scaffold16667.2,Facilitated trehalose transporter Tret1,Dcor_evm.model.hic_scaffold_3_pilon.546,0.000504007
6313,114.0115957,5.282121762,1.156942458,4.565587271,4.98E-06,0.000505188,Hol_evm.model.scaffold09130.1,FER1L6,NA,0.000505188
1709,48.15382206,4.467402893,0.979422429,4.561262597,5.08E-06,0.000511103,Hol_evm.model.scaffold02206.1,Alpha-catulin,Dcor_evm.model.hic_scaffold_6_pilon.1470,0.000511103
4036,625.3363042,10.55742474,2.316152107,4.558174184,5.16E-06,0.000514084,Hol_evm.model.scaffold05473.1,KLHL5,NA,0.000514084
9948,292.864086,-5.133676423,1.12734672,-4.553768893,5.27E-06,0.000520369,Hol_evm.model.scaffold15843.3,Nuclear protein localization protein 4 homolog,Dcor_evm.model.hic_scaffold_1_pilon.771,0.000520369
1120,2707.078167,-3.589310253,0.792514549,-4.529014967,5.93E-06,0.000580123,Hol_evm.model.scaffold01493.3,Venom allergen 3,Dcor_evm.model.hic_scaffold_5_pilon.962,0.000580123
2942,130.2595427,-4.89914715,1.083637742,-4.521019306,6.15E-06,0.0005941,Hol_evm.model.scaffold03970.1,NA,NA,0.0005941
7151,463.484422,-3.798636124,0.840344337,-4.520332862,6.17E-06,0.0005941,Hol_evm.model.scaffold10869.2,Leucine-rich repeat-containing protein 58,Dcor_evm.model.hic_scaffold_5_pilon.1501,0.0005941
4052,1753.377101,2.766909885,0.616024491,4.491558252,7.07E-06,0.000671929,Hol_evm.model.scaffold05491.6,MYO1H,NA,0.000671929
6332,2477.501687,4.315716206,0.961056733,4.49059463,7.10E-06,0.000671929,Hol_evm.model.scaffold09170.1,PREDICTED: phenoloxidase 2-like,Dcor_evm.model.hic_scaffold_5_pilon.905,0.000671929
4293,56.16657988,-4.135595892,0.923594384,-4.477718753,7.54E-06,0.000707799,Hol_evm.model.scaffold05780.3,NA,NA,0.000707799
10700,613.2258376,-3.327605006,0.74359744,-4.475008692,7.64E-06,0.000710912,Hol_evm.model.scaffold17489.1,Adenosine deaminase 2,Dcor_evm.model.hic_scaffold_1_pilon.504,0.000710912
2514,246.0313516,-3.334955017,0.745931328,-4.470860642,7.79E-06,0.000718901,Hol_evm.model.scaffold03405.11,PREDICTED: putative uncharacterized protein DDB_G0292292,Dcor_evm.model.hic_scaffold_5_pilon.809,0.000718901
2553,284.417628,3.886737297,0.87176715,4.458458082,8.26E-06,0.00075558,Hol_evm.model.scaffold03452.2,Rac GTPase-activating protein 1,Dcor_evm.model.hic_scaffold_6_pilon.1294,0.00075558
8651,1996.80638,4.688767498,1.052177318,4.456252209,8.34E-06,0.000757236,Hol_evm.model.scaffold13368.6,CPVL,NA,0.000757236
3881,1589.320331,-2.770730591,0.623766392,-4.441936319,8.92E-06,0.000802947,Hol_evm.model.scaffold05242.5,PREDICTED: uncharacterized protein LOC108556409 isoform X3,Dcor_evm.model.hic_scaffold_7_pilon.1229,0.000802947
1854,177.9001019,-3.762845481,0.84861761,-4.434088375,9.25E-06,0.000825849,Hol_evm.model.scaffold02444.13,Protein hairy,Dcor_evm.model.hic_scaffold_3_pilon.984,0.000825849
2358,46.92288113,-4.049526361,0.913616711,-4.432412752,9.32E-06,0.000825849,Hol_evm.model.scaffold03204.8,LHFPL tetraspan subfamily member 3 protein,Dcor_evm.model.hic_scaffold_14_pilon.62,0.000825849
9120,543.9777719,-4.489756748,1.013312607,-4.430771628,9.39E-06,0.000825849,Hol_evm.model.scaffold14329.3,Protein obstructor-E,Dcor_evm.model.hic_scaffold_4_pilon.1037,0.000825849
8905,33.96476285,-6.517212883,1.478086334,-4.40922342,1.04E-05,0.00090537,Hol_evm.model.scaffold13940.1,MAN1B1,NA,0.00090537
7622,85.16138928,-4.720604953,1.071332662,-4.406292388,1.05E-05,0.000910642,Hol_evm.model.scaffold11567.1,NMUR1,NA,0.000910642
7682,309.2676152,2.628182462,0.596748763,4.404169096,1.06E-05,0.000912586,Hol_evm.model.scaffold11615.5,Carbonic anhydrase 2,Dcor_evm.model.hic_scaffold_10_pilon.666,0.000912586
11007,69.97031583,-3.533962178,0.807284169,-4.377593807,1.20E-05,0.001023427,Hol_evm.model.scaffold18012.1,NA,NA,0.001023427
7980,500.4884738,2.844444931,0.651562982,4.365571726,1.27E-05,0.00107324,Hol_evm.model.scaffold12034.1,Toll-like receptor 6,Dcor_evm.model.hic_scaffold_4_pilon.605,0.00107324
13,210.7914403,4.225179207,0.973054311,4.342182302,1.41E-05,0.001182372,Hol_evm.model.scaffold00034.5,Pro-interleukin-16,Dcor_evm.model.hic_scaffold_8_pilon.792,0.001182372
8732,122.885439,5.755906844,1.325915745,4.341080394,1.42E-05,0.001182372,Hol_evm.model.scaffold13552.1,Protein takeout,Dcor_evm.model.hic_scaffold_10_pilon.1378,0.001182372
1195,112.7738981,-3.096956304,0.7154724,-4.328547548,1.50E-05,0.001242485,Hol_evm.model.scaffold01541.1,PICALM,NA,0.001242485
218,359.6555461,-4.338023985,1.004213301,-4.319823268,1.56E-05,0.001282408,Hol_evm.model.scaffold00226.4,Sorting nexin-18,Dcor_evm.model.hic_scaffold_5_pilon.881,0.001282408
2975,155.447691,3.59408304,0.83258809,4.31676009,1.58E-05,0.001282408,Hol_evm.model.scaffold04013.1,Homeobox protein aristaless,Dcor_evm.model.hic_scaffold_7_pilon.792,0.001282408
3389,138.3136243,-4.170178182,0.96574061,-4.318114138,1.57E-05,0.001282408,Hol_evm.model.scaffold04575.3,NA,NA,0.001282408
966,103.931315,4.853042198,1.124758739,4.314740602,1.60E-05,0.001284943,Hol_evm.model.scaffold01237.1,NA,NA,0.001284943
9752,83.38016492,4.144027509,0.961441547,4.310223043,1.63E-05,0.001302175,Hol_evm.model.scaffold15445.5,F-box/LRR-repeat protein 7-like,Dcor_evm.model.hic_scaffold_7_pilon.265,0.001302175
4006,117.2456867,4.788610397,1.115935219,4.291118618,1.78E-05,0.001409433,Hol_evm.model.scaffold05437.6,Dihydropteridine reductase,Dcor_evm.model.hic_scaffold_9_pilon.258,0.001409433
2556,28.31972441,5.61809016,1.312391124,4.280804752,1.86E-05,0.001447411,Hol_evm.model.scaffold03460.3,-,NA,0.001447411
5164,274.4350694,3.538706588,0.826692198,4.28056125,1.86E-05,0.001447411,Hol_evm.model.scaffold07466.2,Toll-like receptor Tollo,Dcor_evm.model.hic_scaffold_1_pilon.890,0.001447411
9686,920.6807125,2.604003598,0.608196312,4.281518232,1.86E-05,0.001447411,Hol_evm.model.scaffold15322.2,Matrix metalloproteinase-2,Dcor_evm.model.hic_scaffold_1_pilon.688,0.001447411
6293,763.427662,2.558678176,0.599053099,4.271204305,1.94E-05,0.001499166,Hol_evm.model.scaffold09101.8,Copper-transporting ATPase 1,Dcor_evm.model.hic_scaffold_2_pilon.347,0.001499166
9240,587.7749422,-4.157392034,0.974310466,-4.267009519,1.98E-05,0.001517232,Hol_evm.model.scaffold14591.2,NA,NA,0.001517232
561,59.37382046,-3.920919571,0.920463521,-4.259722937,2.05E-05,0.001556954,Hol_evm.model.scaffold00745.1,WSCD family member AAEL009094,Dcor_evm.model.hic_scaffold_2_pilon.371,0.001556954
